0.000000e+00,-1.101040e-08,1.834880e-07,3.832998e-07,0.000000e+00,0.000000e+00,0.000000e+00,1.135991e+06,-3.504187e+07,-4.777661e+07,4.277453e-18,0,0
9.418182e-10,-1.549812e-04,1.984318e-03,2.500269e-03,-1.646442e+05,2.107844e+06,2.655546e+06,6.029419e-02,-7.900100e-01,-8.486584e-01,4.277453e-18,0,4144
9.414318e-09,-1.549992e-03,1.984385e-02,2.500027e-02,-1.646532e+05,2.107962e+06,2.655673e+06,4.110564e-04,-7.392973e-03,-9.011162e-03,4.277453e-18,0,41423
0.000000e+00,-1.081270e-07,-2.875903e-08,1.716561e-07,0.000000e+00,0.000000e+00,0.000000e+00,1.314982e+08,3.601121e+07,-1.900575e+08,8.250211e-18,1,0
3.243182e-10,-1.732737e-03,-4.745441e-04,2.500589e-03,-5.342704e+06,-1.463208e+06,7.710209e+06,7.560878e-01,2.079959e-01,-1.016545e+00,8.250211e-18,1,1427
3.242500e-09,-1.732381e-02,-4.744476e-03,2.500051e-02,-5.342743e+06,-1.463218e+06,7.710261e+06,7.600877e-03,2.056507e-03,-1.021150e-02,8.250211e-18,1,14267
0.000000e+00,1.010352e-08,-1.306015e-07,4.487225e-07,0.000000e+00,0.000000e+00,0.000000e+00,-1.771218e+07,2.272875e+07,-4.986840e+07,3.972982e-18,2,0
8.568182e-10,7.791934e-04,-1.140393e-03,2.500611e-03,9.099516e+05,-1.331599e+06,2.919561e+06,-4.685406e-01,6.208250e-01,-1.224227e+00,3.972982e-18,2,3770
8.562955e-09,7.791809e-03,-1.140241e-02,2.500020e-02,9.100150e+05,-1.331683e+06,2.919727e+06,-4.451865e-03,5.862374e-03,-1.287296e-02,3.972982e-18,2,37677
0.000000e+00,2.459971e-08,2.817047e-07,3.402482e-07,0.000000e+00,0.000000e+00,0.000000e+00,-6.778544e+06,-4.710330e+07,-3.458979e+07,4.019014e-18,3,0
1.372273e-09,5.032585e-04,3.707526e-03,2.500391e-03,3.668416e+05,2.702577e+06,1.822320e+06,-5.963090e-02,-4.891175e-01,-2.176715e-01,4.019014e-18,3,6038
1.371886e-08,5.032633e-03,3.707622e-02,2.500032e-02,3.668544e+05,2.702683e+06,1.822368e+06,-5.748068e-04,-4.091412e-03,-2.753299e-03,4.019014e-18,3,60363
0.000000e+00,7.072375e-09,9.456688e-08,2.667228e-07,0.000000e+00,0.000000e+00,0.000000e+00,-4.199917e+06,-4.911856e+07,-1.066043e+08,6.179615e-18,4,0
5.288636e-10,1.004492e-04,1.171787e-03,2.500930e-03,1.899729e+05,2.216086e+06,4.729500e+06,-6.917532e-02,-7.855288e-01,-1.490443e+00,6.179615e-18,4,2327
5.286136e-09,1.004225e-03,1.171457e-02,2.500094e-02,1.899787e+05,2.216152e+06,4.729624e+06,-5.981783e-04,-7.772083e-03,-1.504182e-02,6.179615e-18,4,23259
0.000000e+00,6.201824e-08,-5.559230e-09,5.953147e-07,0.000000e+00,0.000000e+00,0.000000e+00,-6.921876e+06,1.119691e+06,-4.156299e+07,3.164428e-18,5,0
8.863636e-10,3.454837e-04,-6.994403e-05,2.500011e-03,3.900096e+05,-7.899193e+04,2.822113e+06,-2.447582e-01,7.366304e-02,-1.727043e+00,3.164428e-18,5,3900
8.858636e-09,3.454973e-03,-6.997573e-04,2.500026e-02,3.900439e+05,-7.900226e+04,2.822355e+06,-2.261928e-03,6.002782e-04,-1.824316e-02,3.164428e-18,5,38978
0.000000e+00,-8.237355e-08,-1.528783e-07,2.874795e-07,0.000000e+00,0.000000e+00,0.000000e+00,2.852598e+07,4.618228e+07,-7.057199e+07,5.252445e-18,6,0
